www.w3.org/2002/07/owl/ReflexiveProperty,7
www.w3.org/2002/07/owl/DataRange,7
voag.linkedmodel.org/voag/Maturity,7
voag.linkedmodel.org/voag/IssueStatus,7
vivoweb.org/ontology/core/Building,7
vivoweb.org/ontology/core/Facility,7
vivoweb.org/ontology/core/Continent,7
vitro.mannlib.cornell.edu/ns/vitro/0.7/ManuallyLinkableTab,7
www.lexinfo.net/ontology/2.0/lexinfo/VerbPOS,7
www.lexinfo.net/ontology/2.0/lexinfo/NormativeAuthorization,7
www.lexinfo.net/ontology/2.0/lexinfo/VerbFormMood,7
onto.beef.org.pl/domain/c1099,7
idi.fundacionctic.org/cruzar/turismo/Dia-de-la-semana,7
rhizomik.net/ontologies/copyrightonto.owl/Aim,7
purl.org/vocommons/voaf/Vocabulary,6
xmlns.com/foaf/0.1/Image,6
voag.linkedmodel.org/voag/ConfidentialityLevel,6
voag.linkedmodel.org/voag/CreativeCommonsRequirement,6
voag.linkedmodel.org/voag/PublicationStatus,6
vivoweb.org/ontology/core/Service,6
vivoweb.org/ontology/core/Process,6
vivoweb.org/ontology/core/EditorialArticle,6
vivoweb.org/ontology/core/GovernmentAgency,6
vivoweb.org/ontology/core/Hospital,6
vivoweb.org/ontology/core/Publisher,6
vivoweb.org/ontology/core/Team,6
www.lexinfo.net/ontology/2.0/lexinfo/AbbreviatedForm,6
www.tele.pw.edu.pl/~sims-onto/ConnectivityType.owl/DataBearerService,6
purl.org/twc/arrayexpress/E-MTAB-104/term/no_implantation,6
purl.org/twc/arrayexpress/E-MTAB-104/term/sham_implantation,6
purl.org/twc/arrayexpress/E-MTAB-104/term/implanted_tumor,6
purl.org/twc/arrayexpress/P-MTAB-3885,6
purl.org/twc/arrayexpress/P-MTAB-3883,6
purl.org/twc/arrayexpress/P-MTAB-3884,6
kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl/MealCourseType,6
kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl/Nutrient,6
purl.org/spar/scoro/ProjectRole,6
purl.org/spar/scoro/AuthorshipContribution,6
purl.org/spar/scoro/OrganizationalContribution,6
openprovenance.org/model/opmo/Role,5
www.w3.org/2002/07/owl/OntologyProperty,5
voag.linkedmodel.org/voag/PriorityValue,5
purl.org/ontology/bibo/DocumentPart,5
purl.org/ontology/bibo/BookSection,5
purl.org/ontology/bibo/Chapter,5
vivoweb.org/ontology/core/AcademicTerm,5
vivoweb.org/ontology/core/Committee,5
ont.cbnl.org/metamodel/def/Status,5
www.lexinfo.net/ontology/2.0/lexinfo/NounPOS,5
www.lexinfo.net/ontology/2.0/lexinfo/AdpositionPOS,5
www.lexinfo.net/ontology/2.0/lexinfo/Aspect,5
www.lexinfo.net/ontology/2.0/lexinfo/Gender,5
www.lexinfo.net/ontology/2.0/lexinfo/Tense,5
purl.org/spar/pso/ArticleProcessingChargeStatus,5
idi.fundacionctic.org/cruzar/turismo/Grupo-de-viaje,5
www.w3.org/2002/07/owl/AllDisjointProperties,5
www.w3.org/TR/2003/PR-owl-guide-20031209/wine/Chardonnay,5
www.w3.org/TR/2003/PR-owl-guide-20031209/wine/Zinfandel,5
purl.org/spar/fabio/AnalogStorageMedium,4
www.w3.org/ns/prov/Role,4
webenemasuno.linkeddata.es/ontology/OPMO/Post,4
www.w3.org/2002/07/owl/DeprecatedClass,4
voag.linkedmodel.org/voag/ChangeType,4
voag.linkedmodel.org/voag/CreativeCommonsPermission,4
voag.linkedmodel.org/voag/SchemaGraph,4
purl.org/ontology/bibo/Image,4
vivoweb.org/ontology/core/DateTimeValuePrecision,4
vitro.mannlib.cornell.edu/ns/vitro/0.7/MixedTab,4
vitro.mannlib.cornell.edu/ns/vitro/0.7/SecondaryTab,4
,4
www.lexinfo.net/ontology/2.0/lexinfo/AdverbPOS,4
www.lexinfo.net/ontology/2.0/lexinfo/Definiteness,4
www.w3.org/2001/sw/hcls/ns/transmed/TMO_0141,4
www.tele.pw.edu.pl/~sims-onto/ConnectivityType.owl/Network,4
idi.fundacionctic.org/cruzar/turismo/Calificacion,4
idi.fundacionctic.org/cruzar/turismo/Preferencia-de-ruta,4
idi.fundacionctic.org/cruzar/turismo/Viaje,4
kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl/CookingTaskType,4
www.sensormeasurement.appspot.com/ont/transport/traffic/Vehicle,4
purl.org/spar/scoro/EducationalRole,4
www.w3.org/TR/2003/PR-owl-guide-20031209/wine/CabernetSauvignon,4
www.w3.org/TR/2003/PR-owl-guide-20031209/wine/SauvignonBlanc,4
www.w3.org/2003/11/swrl/BuiltinAtom,3
purl.org/ontology/mo/ReleaseStatus,3
voag.linkedmodel.org/voag/GovernanceRole,3
voag.linkedmodel.org/voag/Icon,3
aims.fao.org/aos/geopolitical.owl/organization,3
vivoweb.org/ontology/core/SubjectArea,3
purl.org/ontology/bibo/Thesis,3
vivoweb.org/ontology/core/ClinicalOrganization,3
,3
purl.obolibrary.org/obo/OBI_0000245,3
vitro.mannlib.cornell.edu/ns/vitro/0.7/Portal,3
vivoweb.org/ontology/core/OrganizerRole,3
www.rickmurphy.org/mincats.owl/Sign,3
www.lexinfo.net/ontology/2.0/lexinfo/FusedPrepositionPOS,3
www.lexinfo.net/ontology/2.0/lexinfo/ArticlePOS,3
www.lexinfo.net/ontology/2.0/lexinfo/ConjunctionPOS,3
www.lexinfo.net/ontology/2.0/lexinfo/Animacy,3
www.lexinfo.net/ontology/2.0/lexinfo/Cliticness,3
www.lexinfo.net/ontology/2.0/lexinfo/Degree,3
www.lexinfo.net/ontology/2.0/lexinfo/Frequency,3
www.lexinfo.net/ontology/2.0/lexinfo/ModificationType,3
www.lexinfo.net/ontology/2.0/lexinfo/Mood,3
www.lexinfo.net/ontology/2.0/lexinfo/Person,3
www.lexinfo.net/ontology/2.0/lexinfo/TemporalQualifier,3
www.lexinfo.net/ontology/2.0/lexinfo/Voice,3
www.tele.pw.edu.pl/~sims-onto/ConnectivityType.owl/BearerAddressType,3
www.tele.pw.edu.pl/~sims-onto/ConnectivityType.owl/ShortRangeConnectivityType,3
purl.org/twc/arrayexpress/P-MTAB-3889,3
idi.fundacionctic.org/cruzar/turismo/Accesibilidad-de-movilidad-reducida,3
idi.fundacionctic.org/cruzar/turismo/Horario-de-visita,3
kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl/CookingDifficultyCategory,3
purl.org/spar/scoro/ContributionEffort,3
www.w3.org/TR/2003/PR-owl-guide-20031209/wine/WineColor,3
www.w3.org/TR/2003/PR-owl-guide-20031209/wine/WineFlavor,3
www.w3.org/TR/2003/PR-owl-guide-20031209/wine/WineSugar,3
www.w3.org/TR/2003/PR-owl-guide-20031209/wine/WineBody,3
www.w3.org/TR/2003/PR-owl-guide-20031209/wine/PinotNoir,3
voag.linkedmodel.org/voag/Attribution,2
voag.linkedmodel.org/voag/CreativeCommonsProhibition,2
purl.org/ontology/bibo/CollectedDocument,2
purl.org/ontology/bibo/Workshop,2
vivoweb.org/ontology/core/AdvisingRelationship,2
vivoweb.org/ontology/core/Campus,2
vivoweb.org/ontology/core/Museum,2
www.ebi.ac.uk/efo/EFO_0000001,2
www.w3.org/2000/01/rdf-schema/Property,2
www.rickmurphy.org/mincats.owl/ValdationValues,2
www.rickmurphy.org/mincats.owl/GradationValues,2
www.lexinfo.net/ontology/2.0/lexinfo/Dating,2
www.lexinfo.net/ontology/2.0/lexinfo/Finiteness,2
www.lexinfo.net/ontology/2.0/lexinfo/Negative,2
www.lexinfo.net/ontology/2.0/lexinfo/ReferentType,2
www.tele.pw.edu.pl/~sims-onto/ConnectivityType.owl/CellularConnectivityType,2
